PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
53,174.8,173.68,151.7,113.43,12.06,12.24,,11.97,6.62,22.29,15.6,93.85,6.61
54,144.1,149.84,136.2,116.66,12.05,12.2,0.41,11.97,6.4,21.45,22,93.61,6.41
55,154.2,160.19,139.6,113.68,11.83,12.35,0.37,11.97,6.61,27.03,40.6,97.74,6.6
56,163,164.14,164.1,117.66,11.81,12.21,0.4,11.97,6.61,24.08,21.9,108.13,6.61
57,142.5,151.49,150.2,113.28,12.09,12.34,,11.98,6.62,23.55,16.9,97.27,6.61
58,151.1,164.07,157.3,118.81,11.86,12.27,,11.97,6.6,24.38,15,95.1,6.61
59,155.9,176.95,178.1,110.5,12.06,12.21,,11.97,6.6,23.48,18.6,98.85,6.62
60,163.8,144.46,176.3,111.62,11.86,12.26,,11.97,6.6,26.75,17.9,103.31,6.61
61,182.9,167.39,197.5,113.06,12.07,12.14,,11.97,6.6,21.28,21.5,96.21,6.51
62,158.1,151.87,176.4,108.95,11.91,12.26,,11.97,6.62,24.28,14.9,93.66,6.62
63,166.2,160.3,157.6,110.3,12.1,12.16,0.41,11.97,6.4,22.24,19.7,99.4,6.44
64,141.4,176.61,139.2,112.92,11.82,12.14,0.38,11.97,6.61,27.47,19.5,106.76,6.61
65,145,165.84,154.7,110.89,11.88,12.37,,11.97,6.6,23.55,15.7,88.78,6.61
66,137.1,142.85,191,112.88,11.86,12.26,,11.97,6.6,26.22,18.4,99.27,6.62
67,157.4,138.05,132.6,113.21,12.07,12.24,0.41,11.97,6.41,23.62,17.4,103.46,6.4
68,165.3,146.59,159.1,114.44,12.09,12.17,0.41,11.97,6.4,22.77,18,102.53,6.41
69,183.8,145.7,197.5,112.32,11.78,12.24,,11.97,6.6,24.57,12.4,97.19,6.38
70,155.4,171.28,165.9,112.58,11.87,12.27,,11.97,6.62,24.07,32.9,93.92,6.62
71,180,133.15,165.3,118.3,12.05,12.33,0.41,11.97,6.4,21.12,25.4,102.44,6.42
72,146.3,174.26,172,113.93,12.07,12.2,,11.97,6.6,23.51,14.3,104.29,6.61
73,166,144.36,153.1,111.27,11.84,12.35,0.35,11.97,6.61,25.3,18.4,103.34,6.61
74,175.6,175.34,141.3,112.4,11.89,12.39,,11.97,6.63,25.97,9.7,94.17,6.63
75,167.3,159.75,154.4,114.91,11.82,12.24,0.36,11.97,6.6,26.64,13.4,97.92,6.61
76,151.7,142.43,168,110.71,11.83,12.27,0.38,11.97,6.61,26.11,12.8,103.81,6.61
77,175.4,180,169.8,116.64,12.06,12.17,,11.98,6.62,23.59,16,105.1,6.61
78,166.3,144.51,156.3,112.43,12.1,12.22,0.4,11.97,6.4,18.56,35.7,84.77,6.41
79,155.7,175.91,165.5,109.96,11.89,12.25,,11.98,6.6,24.69,13.7,98.54,6.61
80,162.5,141.89,137.1,112.77,11.83,12.21,0.38,11.98,6.61,27.05,33.9,102.07,6.61
81,165.5,163.17,163.3,112.55,11.76,12.26,,11.97,6.6,27.1,11.4,104.43,6.63
82,148.3,168.94,156.8,114.16,11.87,12.26,,11.97,6.62,25.09,14.7,90.15,6.61
83,158.7,168.8,161.5,112,12.07,12.23,,11.97,6.62,22.01,16.3,102.42,6.6
84,147.7,159.09,161.5,122.65,11.95,12.33,,11.97,6.62,22.62,12.3,112.06,6.61
85,166,166,169.7,111.31,11.79,12.23,0.39,11.97,6.61,26.82,11.6,104,6.6
86,176.1,152.12,186.8,117.56,11.86,12.27,,11.97,6.62,27.77,15.3,107.16,6.6
87,148.1,158.28,150.3,103.79,11.82,12.45,0.36,11.97,6.61,26.06,18.8,102.16,6.61
88,166.6,167.14,181.6,115.75,12.09,12.26,,11.97,6.61,20.97,24,99.03,6.6
89,163.4,184.97,195.4,111.38,12.06,12.21,,11.98,6.62,24.74,19.4,106.85,6.63
90,139.3,153.5,166.7,122.51,12.09,12.22,,11.97,6.62,26.46,15.5,103.18,6.6
91,165.2,168.11,180.7,116.93,12.06,12.18,,11.97,6.61,22.16,14.3,101.74,6.6
92,130,160.13,168,106.32,11.83,12.22,0.37,11.98,6.61,25.79,18.8,99.7,6.61
93,121.5,163.08,165.8,113.85,12.07,12.2,,11.97,6.61,22,12.5,102.13,6.62
94,157.1,152.48,147.1,113.79,12.03,12.25,0.41,11.97,6.41,23.36,15.4,107.2,6.41
95,144,157.11,144.3,112.56,12.1,12.2,0.4,11.97,6.41,19.57,15.5,93.54,6.41
96,151.2,158.65,156.3,115.76,12.04,12.23,0.41,11.97,6.41,23.9,15.7,104.21,6.41
97,159.6,168.25,162.8,107.08,11.89,12.23,,11.97,6.62,24.74,12.9,89.1,6.61
98,174.4,132.35,130.6,108.24,12.04,12.22,0.41,11.97,6.41,21.75,14.4,94.87,6.41
99,185.8,154.19,187.5,116.29,11.83,12.26,0.36,11.97,6.61,23.03,18.2,94.45,6.61
100,192.8,179.22,129.7,111.01,12.05,12.26,,11.97,6.62,24.69,22.4,103.14,6.61
101,193.5,168.19,168.5,114.06,11.82,12.18,,11.97,6.61,28.43,22.5,100.39,6.63
102,132.9,140.56,158.4,110.94,12.12,12.3,0.4,11.97,6.41,18.27,11.5,80.66,6.41
103,137.8,150.25,134.3,115.14,12.1,12.24,0.41,11.97,6.42,22.09,19.5,93.4,6.4
104,170.3,166.13,160.5,118.39,12.1,12.28,,11.97,6.61,22.83,20.5,97.3,6.61
105,168.7,164.28,161.2,117.56,11.68,12.34,,11.97,6.6,28.86,15.6,113.29,6.61
106,156,138.15,143.3,113.62,12.06,12.2,0.41,11.97,6.41,24.07,18.1,103.04,6.4
107,163.5,156.44,174.8,110.69,12.09,12.28,,11.97,6.62,24.96,9,101.17,6.61
108,147.7,150.75,150.3,113.67,12.13,12.23,0.39,11.97,6.41,21.26,16.5,95.39,6.41
109,162,171.34,164.1,112.65,11.93,12.24,,11.97,6.62,23.83,16.5,98.86,6.61
110,138.1,154.47,161.5,112.77,12.1,12.24,0.39,11.97,6.4,18.74,14.4,81.85,6.41
111,147.2,151.75,177,108.91,11.74,12.24,,11.97,6.62,26.99,13.8,107.18,6.6
112,146.5,158.35,169.2,118.44,11.88,12.29,,11.97,6.63,24.59,11.8,92.96,6.61
113,150.4,153.41,156,110.04,12.04,12.27,0.41,11.97,6.42,21.88,18.2,99.22,6.44
114,160,154,167.6,119.86,12.09,12.37,,11.97,6.61,22.46,10.3,98.92,6.62
115,138.6,173.37,170.1,108.34,11.88,12.22,,11.98,6.62,21.64,23.1,92.72,6.61
116,167.9,173.88,179.1,114.16,12.06,12.27,,11.97,6.62,25.49,11.1,99.42,6.61
117,164.3,172.52,147,109.17,11.9,12.31,,11.98,6.62,23.51,14.2,104.49,6.63
118,154.9,174.09,150.1,116.58,12.06,12.34,,11.97,6.62,27.71,13.3,97.41,6.62
119,162.9,174.74,161,105.03,11.89,12.21,,11.98,6.61,25.43,16.8,103.78,6.63
120,181.5,163.94,155.9,110.5,11.8,12.27,0.38,11.97,6.61,25.36,16.4,100.03,6.61
121,165.8,169.14,139.7,115.67,11.88,12.27,,11.97,6.62,25.82,15.7,88.48,6.63
122,166.1,145.52,148.4,111.17,11.86,12.26,,11.97,6.61,27.84,14.5,101.73,6.6
123,166,160,146.4,111.4,11.82,12.37,0.38,11.97,6.61,25.24,8.7,109.12,6.61
124,165.3,163.35,171.1,116.68,11.82,12.25,,11.97,6.6,26.68,14.1,110.2,6.6
125,156.2,152.37,149.6,118.21,12.09,12.21,0.36,11.97,6.4,19.22,13.3,89.37,6.43
126,171.1,153.66,119.4,111.07,12.08,12.28,,11.98,6.62,20.81,10.8,95.51,6.61
127,164.2,163.89,164.3,114.55,11.84,12.34,,11.97,6.61,28.75,10.6,102.33,6.61
128,148.6,154.19,196.5,113.8,12.11,12.33,0.4,11.97,6.41,20.11,15.1,88.29,6.4
129,171.2,156.76,157,112.29,12.09,12.29,0.41,11.97,6.41,23.6,12.9,95.04,6.4
130,154.6,175.28,130.4,116.46,12.07,12.13,,11.98,6.62,25.19,22.1,105.52,6.61
131,135.7,153.43,140.3,110.52,12.1,12.27,0.41,11.97,6.41,24.03,21.9,103.73,6.43
132,194.1,143.25,149.3,113.95,12.06,12.18,0.41,11.97,6.41,21.3,18.3,91.64,6.41
133,145.6,172.19,155,111.74,12.06,12.19,,11.97,6.62,24.51,20.6,100.36,6.63
134,159.8,140.97,144.4,117.31,12.13,12.26,0.4,11.97,6.41,17.07,13.9,81.72,6.4
135,148.4,146.57,133.2,114.9,12.03,12.25,0.41,11.97,6.42,22.23,15.8,101.45,6.41
136,171.7,155.62,151.8,107.94,12.11,12.24,0.38,11.97,6.41,23.81,19.5,103.04,6.42
137,165.5,149.73,154.7,113.25,12.04,12.15,0.41,11.97,6.42,21.89,24.2,95.39,6.41
138,196.3,148.95,153.6,111.03,11.84,12.24,,11.97,6.61,27.21,16.2,102.23,6.6
139,129.3,151.23,143.7,114.34,11.9,12.29,,11.97,6.62,22.76,14.8,91.65,6.63
140,133,139.7,140.6,113.48,12.11,12.37,0.39,11.97,6.41,15.59,10.1,82.85,6.42
141,145.2,162.41,166.7,108.34,11.86,12.28,,11.97,6.61,26.53,14,103.49,6.6
142,164.1,148.84,138.5,114.35,11.87,12.21,,11.97,6.61,26.36,17.3,100.19,6.62
143,168.9,159.85,143.3,115.5,12.07,12.35,,11.97,6.61,23.2,10.1,104.54,6.62
144,160.2,151.23,148.6,117.58,12.04,12.38,0.41,11.97,6.4,24.78,10.3,101.99,6.41
145,174.1,154.28,161.5,107.9,12.13,12.28,0.41,11.97,6.41,20.23,15.5,96.74,6.41
146,178.4,147.92,159.9,116.05,11.79,12.23,,11.97,6.6,24.04,19.7,93.49,6.61
147,131.6,166.76,133.6,110.02,11.82,12.23,0.37,11.97,6.61,26.45,16.2,101.18,6.64
148,166.2,153.99,154.2,126.97,12.08,12.34,,11.97,6.62,24.14,12.7,98.94,6.61
149,137.6,164.79,168.3,110.74,11.83,12.24,0.38,11.97,6.64,25.69,23.6,103.77,6.61
150,164.5,158.52,197.5,111.42,11.83,12.24,,11.97,6.61,26.33,19.7,100.68,6.36
151,173.3,165.35,163.4,115.23,12.08,12.26,,11.97,6.62,23.6,16.5,103.72,6.6
152,167,144.8,152.1,112.6,12.12,12.29,0.4,11.97,6.41,19.18,12.7,82.67,6.41
153,135.1,149.74,144.4,107.85,12.12,12.39,0.37,11.97,6.41,18.43,11.9,79.35,6.4
154,146.4,175.56,148.1,112.06,12.06,12.22,,11.97,6.61,22.35,17.2,102.38,6.61
155,147,168.57,162.3,111.02,11.82,12.33,0.4,11.97,6.62,24.93,13.8,104.84,6.61
156,197.8,147.65,171.6,116.29,11.84,12.18,,11.97,6.54,24.31,26.1,96.16,6.61
157,157.2,174.77,160.7,111.92,12.06,12.24,,11.98,6.6,22.68,41,91.35,6.6
158,157.6,133.87,156.3,110.92,11.84,12.3,0.34,11.97,6.61,23.48,13.5,92.23,6.61
159,164.5,152.76,149.5,113.71,12.1,12.23,0.41,11.97,6.44,24.02,13.6,100.82,6.41
160,169.6,158.68,151.1,116.65,11.82,12.28,0.4,11.97,6.61,27.64,20.3,97.28,6.63
161,171,143.78,166.5,109.49,11.9,12.16,,11.97,6.62,21.35,34.4,88.85,6.6
162,173.5,165.64,151.6,111.07,11.85,12.26,,11.97,6.62,27.32,11.3,112.33,6.65
163,160.6,140.13,158.5,112.77,11.71,12.22,,11.97,6.61,22.62,15.3,97.94,6.61
164,168.9,174.36,158.3,122.13,12.07,12.26,,11.97,6.62,22.68,23.7,101.57,6.61
165,173.2,142.04,162.9,116.93,11.73,12.42,,11.97,6.61,24.92,12.9,94.1,6.6
166,152.1,139.15,197.8,114.1,12.07,12.21,0.41,11.97,6.41,21.56,25,96.79,6.37
167,145.7,150.37,180.5,110.31,12.04,12.3,0.39,11.97,6.42,21.94,9.5,101.95,6.4
168,157,161.24,176.5,110.84,11.89,12.41,,11.97,6.62,21.2,11.3,85.2,6.63
169,186.5,164.33,159.4,117.97,12.06,12.2,,11.97,6.61,22.89,14.7,103.24,6.62
170,154.9,152.11,158.8,114.32,12.05,12.18,0.41,11.97,6.44,21.41,16.8,92.15,6.41
171,142.2,149.87,154.3,113.61,12.05,12.28,0.41,11.97,6.41,22.13,15.5,99.1,6.45
172,182.2,165.77,197.5,115.17,12.07,12.23,,11.97,6.63,24.86,22.4,102.51,6.44
173,154.7,172.63,155.9,115.1,12.1,12.18,,11.97,6.62,23.37,38.7,100.86,6.63
174,181,177.59,166.4,114.47,12.06,12.37,,11.98,6.62,22.91,8.6,105.14,6.61
175,129.1,142.86,160.2,113.3,12.13,12.2,0.39,11.97,6.41,16.62,16.4,77.85,6.4
176,161.3,147.62,179.4,186.31,12.13,12.36,0.41,11.97,6.41,21.01,17.3,92.66,6.43
177,129,159.48,165.3,109.61,12.09,12.24,,11.97,6.62,21.9,16.6,91.08,6.61
178,141.6,158.07,156.9,110.24,12.03,12.23,0.41,11.97,6.4,22.25,13,101.32,6.41
179,138.1,152.7,181.1,114.59,12.06,12.2,0.41,11.97,6.41,22.59,19.6,102.83,6.41
180,155.9,162.83,148.9,114.85,11.87,12.33,,11.97,6.61,23.89,13.5,92.03,6.62
181,163.5,173.71,170.9,110.46,12.06,12.15,,11.97,6.62,25.12,19,97.48,6.6
182,178.4,157.93,151.7,109.45,11.8,12.31,0.36,11.98,6.61,24.85,25,102.74,6.61
183,165.5,171.15,156.7,108.81,11.92,12.24,,11.97,6.62,27.61,22.3,95.54,6.61
184,139.5,177.9,170.4,115.23,12.06,12.18,,11.97,6.61,24.4,13.7,103.97,6.63
185,189.9,184.09,172.7,110.4,12.06,12.16,,11.97,6.61,23.12,30.7,101.46,6.61
186,156.2,157.29,179.4,113.77,12.09,12.28,,11.98,6.6,22.19,16.4,99.12,6.61
187,133.2,156.23,151.8,118.08,12.1,12.31,0.35,11.97,6.41,19.63,14.1,86.64,6.41
188,179.7,152.3,169.4,108.15,11.75,12.18,,11.97,6.61,26.11,17.6,105.74,6.61
189,159.1,163.81,192.7,114.24,12.08,12.23,,11.97,6.62,25.9,16.2,105.57,6.6
190,138.3,149.72,152.1,108.67,11.91,12.33,,11.97,6.62,22.55,12.2,89.12,6.62
191,155.2,159.54,176,106.87,11.84,12.34,,11.98,6.61,25.57,10.1,100.25,6.61
192,164,151.89,156.4,115.55,12.11,12.34,0.4,11.97,6.41,18.85,12.5,79.92,6.41
193,166.4,154.63,185.7,112.74,11.9,12.24,,11.97,6.62,24.13,14.3,104.73,6.61
194,184.3,160.87,135.9,117.44,11.75,12.34,,11.97,6.61,25.56,32.9,96.71,6.62
195,155.6,153.44,151.4,109.37,12.09,12.34,0.34,11.97,6.4,23.51,9.8,104,6.41
196,193.8,139.74,162.5,114.75,11.73,12.29,,11.97,6.61,24.21,13.5,98.6,6.6
197,148.2,152.05,170.7,111.99,12.09,12.17,,11.98,6.63,22.43,18.6,99.97,6.61
198,154.3,146.56,159.1,112.52,12.09,12.28,,11.97,6.6,20.56,12.4,96.87,6.61
199,163.1,153.91,168.1,111.87,12.05,12.32,0.41,11.97,6.41,22.33,21.9,102.79,6.41
200,173.2,150.91,151.4,110.4,12.09,12.22,0.4,11.98,6.41,19.31,12.7,90.31,6.41
201,171.6,185.22,163.1,111.55,12.05,12.27,,11.97,6.62,21.45,12.1,101.56,6.61
202,152.7,167.52,155.8,109.22,11.9,12.25,,11.98,6.6,23.19,29.2,94.69,6.61
203,161.3,181.71,165.9,113.03,12.06,12.25,,11.97,6.62,23.59,14,108.22,6.61
204,183.8,162.46,168.4,111.32,11.83,12.23,,11.98,6.61,24.74,12.9,104.15,6.61
205,147.1,144.06,168.2,110.61,12.13,12.25,0.39,11.97,6.41,18.14,16.8,82.69,6.41
206,140.6,149,150.4,114.58,12.1,12.18,0.41,11.97,6.41,23.52,14.2,94.24,6.41
207,134.4,157.46,157.5,113.41,12.08,12.17,,11.98,6.6,23.3,30.8,98.32,6.6
208,175.2,151.27,164.4,115.23,11.79,12.33,,11.97,6.61,23.22,17.7,92.22,6.61
209,171.1,150.59,189.9,116.74,11.86,12.32,,11.97,6.6,26.27,10.6,106.32,6.63
210,188.9,158.96,150.3,111.38,11.83,12.19,0.41,11.97,6.6,24.25,23.4,100.24,6.64
211,163.7,153.43,139.4,112.29,11.9,12.24,,11.97,6.62,22.87,13.9,90.15,6.61
212,187,153.89,150.7,111.71,12.1,12.3,,11.97,6.62,21.83,16.7,95.27,6.63
213,176.3,160.25,169,115.21,11.83,12.24,,11.97,6.63,27.47,17.1,106.14,6.63
214,157,152.37,156,110.7,12.13,12.29,0.4,11.97,6.4,23.36,8.5,98.05,6.41
215,174.7,170.37,161.8,114.94,12.07,12.37,,11.97,6.65,25.01,11.3,95.64,6.6
216,165.3,156.67,144.5,111.69,12.13,12.26,0.39,11.97,6.41,19.69,16.5,83.23,6.42
217,157.3,151.15,167.1,118.16,11.9,12.34,,11.97,6.62,22.83,14.2,88.41,6.63
218,163,149.16,158.9,115.89,12.12,12.24,0.37,11.97,6.42,19.74,13.6,85.26,6.4
219,155.6,157.48,151.9,114.81,11.83,12.41,0.38,11.97,6.61,25.43,8.8,101.81,6.62
220,125.1,152.07,139.3,113.1,11.83,12.34,0.4,11.97,6.61,35.24,11.3,110.05,6.61
221,167.3,155.69,167.5,111.92,12.13,12.24,0.4,11.97,6.41,23.36,16.5,96.07,6.41
222,166.3,148.91,169.6,115.54,12.09,12.16,,11.97,6.62,23.51,31.3,97.8,6.61
223,147.5,170.33,164.7,111.07,11.89,12.2,,11.97,6.62,23.16,17.4,89.28,6.6
224,148.3,168.42,140.3,119.73,12.06,12.24,,11.97,6.62,24.79,15.1,100.58,6.62
225,164.8,165.97,175.3,107.38,11.73,12.33,,11.97,6.6,26.08,12.6,103.45,6.61
226,173.1,158.34,179.4,113.02,11.77,12.31,,11.97,6.6,26.38,17,97.14,6.61
227,148.4,181.4,140.9,114.46,11.9,12.18,,11.97,6.6,27.07,25,97.22,6.6
228,144.9,161.27,166.8,112.21,11.89,12.3,,11.97,6.62,25.61,16.3,99.32,6.61
229,164.6,145.49,189.1,111.63,12.11,12.28,0.41,11.97,6.41,20.32,10.2,95.51,6.42
230,143.2,149.15,122.7,109.33,11.8,12.34,0.39,11.97,6.61,24.48,12.2,98.46,6.61
231,165.8,154.01,161,115.18,12.09,12.16,,11.97,6.62,21.93,17.6,98.91,6.63
232,176.1,164.42,143.5,106.91,11.84,12.31,,11.97,6.6,29.42,13.9,107.32,6.61
233,149,148.51,161.8,113.9,12.1,12.32,0.41,11.97,6.4,23.6,13.1,101.5,6.4
234,158.1,160.94,149.7,111.91,12.1,12.19,,11.97,6.62,24.06,25.1,101.38,6.6
235,149.4,149.24,180.6,111.51,11.84,12.21,,11.97,6.61,24.51,24.3,97.03,6.62
236,161.4,180.9,158.4,113.81,11.89,12.34,,11.97,6.6,28.32,8.7,103.87,6.63
237,170,157.92,160,112.22,11.82,12.26,0.39,11.98,6.64,25.14,18,100.23,6.6
238,165.5,161.48,149.3,115.82,11.8,12.24,0.38,11.97,6.62,26.08,16.3,105.82,6.62
239,168.3,170.66,167.4,117.77,12.06,12.12,,11.98,6.6,23.12,34.8,94.23,6.61
240,158.8,156.41,143.4,119.53,12.09,12.21,,11.97,6.61,21.66,24.7,102.17,6.6
241,163.4,173.75,169.2,114.3,12.06,12.08,,11.97,6.61,23.79,33.6,104.39,6.61
242,146.1,144.24,157.6,110.77,12.1,12.17,,11.97,6.62,23.13,19.6,94.31,6.61
243,141.4,152.09,172.6,115.46,11.9,12.21,,11.97,6.6,25.15,16.8,98.55,6.61
244,156.6,146.33,164.9,111.55,12.04,12.22,0.41,11.97,6.41,22.59,12.4,91.7,6.44
245,160.6,150.37,151.6,111.4,12.03,12.37,0.41,11.97,6.41,22.39,18.3,101.34,6.46
246,163.3,173.02,151.6,111.68,12.06,12.3,,11.97,6.62,22.3,9.4,97,6.61
247,197,145.61,187.1,110.47,12.04,12.3,0.41,11.97,6.41,21.91,14.6,100.55,6.42
248,151.9,144.52,161.8,113.58,11.84,12.2,,11.97,6.61,27.33,16.2,102.52,6.61
249,144.5,140.9,142.3,115.94,12.11,12.24,0.41,11.97,6.41,24.85,12.3,102.55,6.41
250,147.5,149.6,174.7,117.08,12.04,12.37,0.41,11.97,6.43,24.07,9.5,98.69,6.42
251,160.8,154.85,166.3,117.33,12.09,12.22,,11.97,6.6,20.92,39.2,95.22,6.61
252,172.3,178.26,154.5,113.41,12.06,12.22,,11.97,6.62,24.87,15,103.14,6.63
253,166.7,143.31,155.1,121.36,11.83,12.3,0.31,11.97,6.63,24.81,16.7,93.6,6.61
254,171.4,152.21,182.6,113.72,12.09,12.27,0.41,11.97,6.41,22.13,19.8,95.89,6.41
255,197.8,162.59,188.1,109.51,11.83,12.25,,11.97,6.52,24.86,15.1,103.87,6.61
256,140,145.03,141,112.5,11.85,12.28,0.32,11.97,6.6,25.29,16.2,95.67,6.61
257,168,173.59,162.5,105.14,12.06,12.18,,11.97,6.62,24.51,52.6,99.47,6.61
258,175.6,155.9,175.3,113.08,12.1,12.3,0.41,11.97,6.41,23.48,15.3,106.04,6.42
259,165.1,150.93,136.8,114,12.09,12.28,,11.97,6.6,26.15,13.2,101.76,6.61
260,157.1,156.37,129.9,125.86,11.82,12.24,0.35,11.97,6.6,25.41,29.5,98.02,6.61
261,136.4,142.68,181.3,113.48,11.85,12.14,0.39,11.97,6.61,24.49,20.9,94.37,6.61
262,172.1,153.83,165.5,111.51,11.84,12.25,0.38,11.97,6.61,26.28,21.5,108.39,6.61
