PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
33,137.6,188.97,149.2,110.52,12.05,12.31,,11.97,6.62,25,8.1,101.86,6.61
34,154,148.18,169.8,111.88,11.85,12.15,,11.97,6.61,30.13,27.7,103.06,6.62
35,164.2,150.01,176.1,115.74,12.12,12.33,0.4,11.97,6.41,21.93,15.3,99.23,6.41
36,144.2,160.79,139.1,110.07,12.1,12.12,0.41,11.97,6.41,23.8,21.9,102.79,6.42
37,138,143.33,166.6,116.71,11.82,12.17,,11.97,6.61,22.07,17.2,94.25,6.61
38,139.6,147.97,169.2,111.4,12.13,12.33,0.38,11.97,6.41,21.65,19.2,98.22,6.42
39,175.7,154.49,169.7,112.4,12.11,12.3,0.4,11.97,6.41,20.85,12.7,88.22,6.4
40,138.8,158.57,163.1,114.48,12.09,12.28,,11.97,6.62,23.75,22.5,100.74,6.62
41,140.2,165.26,152.1,114.4,12.07,12.22,,11.97,6.63,23.44,22.1,94.81,6.61
42,158.2,164.59,155.2,112.4,11.93,12.39,,11.97,6.62,27.43,15.3,113.99,6.61
43,166.3,162.23,142.6,111.53,12.07,12.28,,11.97,6.6,23.14,11.8,101.05,6.61
44,150.4,149.32,160.3,115.98,12.13,12.17,0.4,11.97,6.4,23.17,27.7,96.73,6.41
45,153.8,168.23,175.6,116.68,12.08,12.14,,11.97,6.62,24.3,24.1,97.11,6.61
46,153.7,170.8,142.1,110.57,12.06,12.24,,11.98,6.6,23.47,19.3,102.36,6.63
47,150.8,157.12,130.6,111.52,12.07,12.31,,11.97,6.62,26.28,11.9,96.9,6.61
48,167.7,155.14,148.8,109.21,11.92,12.35,,11.97,6.6,25.12,10.7,95.3,6.61
49,170.8,150.33,144.3,112.7,11.91,12.34,,11.97,6.61,20.83,12.8,90.8,6.6
50,176.2,151.04,162.6,112.99,12.11,12.34,0.38,11.97,6.41,20.04,14.8,86.45,6.42
51,145.5,151.68,144.8,111.93,11.92,12.2,,11.97,6.62,23.91,14.5,93.93,6.6
52,156.3,166.98,178.7,110.58,11.88,12.27,,11.97,6.62,24.21,18.6,92.65,6.61
53,131.1,132.42,165.8,118.44,12.05,12.31,0.41,11.97,6.4,22.23,11,101.72,6.4
54,167.7,130.63,168.9,117.87,12.12,12.27,0.4,11.97,6.4,21.15,14.2,83.88,6.4
55,159.7,149.68,158.3,111.23,11.78,12.29,,11.97,6.62,24.45,17.8,89.64,6.65
56,184.9,166.75,161.3,118.15,12.06,12.21,,11.97,6.6,23.3,20.9,105.9,6.62
57,162.2,140.16,176.8,110.74,11.86,12.25,,11.97,6.6,26.75,12.8,102.36,6.62
58,138.4,157.28,158.2,108.68,12.1,12.17,,11.97,6.62,22.4,17,99.41,6.63
59,149.4,173.41,138.2,111.28,12.06,12.18,,11.98,6.62,23.5,19.5,102.23,6.62
60,181.9,159.47,163.8,110.09,11.83,12.24,,11.97,6.64,25.99,15.5,101.11,6.63
61,135.5,149.17,150.3,105.89,12.04,12.25,0.41,11.97,6.4,23.65,16.9,106.58,6.42
62,137,159.96,163.5,113.99,11.89,12.26,,11.97,6.62,24.46,16.6,91.93,6.61
63,183.7,179.79,170.1,116.29,12.07,12.18,,11.97,6.6,22.22,14.8,101.97,6.61
64,173.1,173.31,133.9,119.84,12.07,12.17,,11.97,6.61,23.3,16.1,97.66,6.61
65,185.7,151.72,146.8,114.05,12.11,12.36,0.32,11.97,6.4,18.81,11,80.01,6.4
66,161.6,152.99,160.3,114.72,11.9,12.3,,11.97,6.62,24.75,12.4,95.73,6.63
67,166.5,166.87,153.2,114.47,11.75,12.36,,11.97,6.61,25.13,14.4,95.29,6.61
68,165.2,161.02,160.4,115.23,11.82,12.43,0.37,11.97,6.61,23.48,15.4,94.86,6.61
69,183.8,154.14,162.1,115.79,12.05,12.28,0.38,11.97,6.4,23.07,21.9,102.98,6.44
70,164.1,149.93,172.2,111.26,11.91,12.3,,11.97,6.62,25.21,17.1,94.73,6.61
71,159.5,137.83,148.1,115.95,12.07,12.23,0.41,11.97,6.41,19.81,18.1,93.79,6.43
72,181,190.79,135.7,115.81,12.07,12.15,,11.97,6.62,24.05,23,106.03,6.63
73,167.1,168.34,148.8,113.51,11.92,12.18,,11.97,6.6,26.79,20.8,104.43,6.62
74,157.1,160.11,168.4,114.61,11.82,12.16,0.39,11.98,6.61,26.16,18.6,101.21,6.61
75,137.2,150.12,134.8,107.8,12.04,12.24,0.41,11.97,6.41,22.62,10.9,98.81,6.41
76,168.9,151.84,173.9,115.24,12.05,12.33,0.41,11.97,6.4,23.03,13.1,98.03,6.4
77,176.2,158.03,151.6,118.45,11.82,12.21,0.39,11.97,6.61,26.13,16.3,99.95,6.61
78,190.2,135.3,161.1,111.42,11.71,12.31,,11.97,6.6,24.28,8.7,96.25,6.63
79,184.9,181.24,158.8,113.27,12.08,12.2,,11.98,6.6,25.03,21.2,102.81,6.61
80,146.1,156.38,133.3,121.43,11.81,12.29,0.38,11.97,6.61,25.67,18.2,98.35,6.63
81,132.2,160.42,150.7,110.32,11.85,12.19,0.32,11.97,6.6,24.51,37.5,93.99,6.61
82,144.9,168.67,159.5,122.8,12.07,12.26,,11.97,6.62,22.77,13.3,96.48,6.61
83,165.5,174.58,141.7,114.57,12.04,12.28,,11.97,6.62,22.39,11.9,99.64,6.61
84,160.4,171.15,149.7,111.77,11.97,12.24,,11.97,6.6,24.47,14.9,96.66,6.65
85,181.9,179.68,156.4,113.92,12.05,12.25,,11.97,6.6,25.61,15.6,102.29,6.61
86,197.7,143.94,185.7,117.7,11.84,12.28,,11.97,6.59,27.17,18,107.11,6.62
87,163.4,148.37,157.1,108.52,12.09,12.3,0.41,11.97,6.4,22.92,16.8,101.2,6.41
88,157.1,171.2,164.8,118.03,12.07,12.19,,11.97,6.62,22.33,33,104.31,6.63
89,151.1,180.65,159,117.38,12.07,12.21,,11.97,6.62,25.71,21.3,111.32,6.63
90,133.7,159.67,175.8,113.64,11.81,12.24,0.39,11.97,6.61,24.3,18.3,97.02,6.61
91,156.4,169.04,168.6,108.74,11.87,12.27,,11.98,6.6,24.82,12,95.88,6.6
92,147.7,171.07,142.8,114.23,11.89,12.3,,11.97,6.62,26.5,10.7,103.28,6.63
93,176.7,145.09,140.8,109.85,12.1,12.37,0.41,11.97,6.41,22.2,13.5,93.28,6.41
94,167.1,162.13,172.7,118.08,12.08,12.34,,11.97,6.61,24.22,16.2,104.1,6.63
95,156,166.49,164.2,114.76,12.07,12.23,,11.97,6.63,22.15,15.5,96.87,6.62
96,158.4,143.42,133.8,115.97,11.85,12.24,,11.97,6.62,24.29,18.6,101.11,6.61
97,132.2,156.99,127.9,122.26,12.02,12.2,0.41,11.97,6.42,24.91,11.7,100.03,6.41
98,162.3,177.67,195.7,111.42,11.89,12.19,,11.98,6.61,25.36,10.6,101.69,6.61
99,151.4,163.41,152.3,114,11.9,12.27,,11.97,6.61,24.5,29.8,101.73,6.6
100,172,150.37,156.3,111.09,12.05,12.17,0.41,11.97,6.42,19.22,21.2,96.42,6.41
101,137.6,151.91,162,118.19,11.8,12.36,,11.97,6.61,25.18,12,95.4,6.61
102,135.7,161.03,169.8,116.92,12.08,12.3,,11.97,6.6,24.37,9.8,97.43,6.63
103,157.8,178.1,144.3,113.66,11.89,12.3,,11.97,6.6,27.04,30.2,100.45,6.61
104,149.3,154,197.5,123.92,12.1,12.25,,11.97,6.61,25.2,14.2,97.76,6.57
105,150.1,144.22,170.9,112.44,12.06,12.31,0.41,11.97,6.41,22.37,15.2,93.41,6.41
106,149.2,168.69,171.3,116.88,11.9,12.26,,11.97,6.6,24.86,12,95.95,6.62
107,156.5,176.3,153.8,109.27,11.89,12.32,,11.97,6.65,27.55,17.9,106.18,6.6
108,135.2,166.82,147,119.05,12.08,12.29,,11.98,6.6,22.13,12.3,99.01,6.61
109,172.6,162.23,151.5,113.58,12.08,12.2,,11.97,6.61,24.83,32.4,100.79,6.61
110,164.7,165.71,181.5,115.26,11.81,12.26,0.38,11.97,6.61,25.55,17.2,99.9,6.62
111,165.7,164.63,171.7,116.82,12.08,12.33,,11.98,6.61,22.11,12.7,93.78,6.61
112,129.6,160.82,159.5,110.88,11.84,12.39,0.39,11.97,6.61,25.97,26.9,101.33,6.6
113,105.1,161.6,196.8,120.87,11.83,12.23,,11.97,6.61,25.44,19.3,105.61,6.62
114,192,169.74,159.2,112.78,12.08,12.16,,11.98,6.62,22.8,43.8,99.2,6.64
115,135.9,160.67,171.8,116.71,11.9,12.27,,11.97,6.62,24.17,13.4,92.62,6.6
116,153.7,145.21,166.7,112.84,11.83,12.4,0.37,11.97,6.61,25.16,17.2,105.05,6.61
117,164.7,147.38,168.9,116.84,12.12,12.18,0.41,11.97,6.4,20.11,16.1,84.19,6.43
118,151.5,158.8,176,108.9,11.82,12.18,0.37,11.97,6.6,25.64,42.1,106.61,6.61
119,165.9,156.66,160.1,107.24,11.91,12.21,,11.97,6.62,24.03,13.7,98.33,6.62
120,147.2,148.66,144.2,117.4,12.13,12.17,0.37,11.97,6.41,17.55,19.3,86.2,6.42
121,173.3,147.81,169,111.4,11.85,12.26,,11.98,6.61,25.69,14.3,103.83,6.6
122,145.1,140.8,155.3,111.65,12.04,12.33,0.41,11.97,6.42,23.19,20,100.24,6.43
123,148.5,150.99,176.1,113.2,12.04,12.27,0.41,11.97,6.41,23.18,16.5,98.57,6.41
124,157.2,148.16,159.2,106.65,12.13,12.37,0.39,11.97,6.41,26.96,12.2,95.15,6.44
125,158.6,166.25,185.7,117.59,11.84,12.28,,11.97,6.61,25.39,17.2,106.93,6.62
126,164.3,160.06,152.1,109.99,11.76,12.23,,11.98,6.62,23.01,15.8,95.87,6.62
127,174.1,162.89,178.3,114.72,11.83,12.18,,11.97,6.6,26.49,20.9,108.42,6.61
128,152.7,162.2,155.7,116,11.83,12.27,0.37,11.97,6.61,24.55,14.1,98.43,6.61
129,144.1,157.15,149.7,111.1,12.01,12.32,0.41,11.97,6.4,22.66,18.6,94.21,6.42
130,165.5,156.24,164.2,119.04,12.1,12.25,,11.97,6.62,24.98,20,97.4,6.61
131,153.1,169.41,156.1,112.87,12.06,12.36,,11.97,6.62,22.63,11.2,104.54,6.61
132,138.1,155.57,178.2,118.91,12.08,12.28,,11.98,6.62,25.42,17.7,95.21,6.61
133,173.8,165.71,169.1,111.12,12.07,12.21,,11.97,6.62,23.14,17,104.99,6.61
134,149.8,152.02,131.3,109.8,11.9,12.23,,11.97,6.62,24.52,11.1,89.31,6.61
135,164.4,161.57,168.3,114.95,11.83,12.2,,11.97,6.61,24.67,18.7,103.83,6.61
136,152.4,143.79,158.1,112.23,12.11,12.2,0.41,11.97,6.41,22.32,17.8,94.72,6.42
137,146.6,136.34,188.8,114.99,12.06,12.24,0.39,11.97,6.41,20.71,15.9,97.96,6.4
138,141.8,157.97,146.6,121.41,11.88,12.29,,11.97,6.62,22.89,11.6,93.66,6.61
139,170.4,166.64,158.7,112.86,11.89,12.26,,11.97,6.62,23.66,12.9,98.89,6.61
140,165.3,163.99,168,121.74,12.07,12.17,,11.97,6.62,22.41,22.1,101.16,6.63
141,139.1,167.67,156.7,111.99,12.07,12.21,,11.97,6.63,24.84,20.3,97.25,6.62
142,151.5,158.9,173,113.15,11.83,12.21,0.35,11.97,6.61,25.99,18.8,94.68,6.62
143,142.1,139.45,141.8,114.75,12.13,12.19,0.4,11.97,6.43,17.9,13.9,79.9,6.41
144,164.4,159.78,161.1,107.49,11.84,12.32,0.36,11.98,6.6,25.41,9.7,95.88,6.61
145,165.8,177.65,166.6,114.11,12.06,12.27,,11.97,6.61,24.25,14.8,100.17,6.62
146,165.1,144.63,166.8,110.69,12.13,12.25,0.4,11.97,6.41,19.18,18.7,90.81,6.4
147,162.1,149.16,161.7,112.61,12.02,12.38,0.41,11.97,6.4,20.54,13.6,99.5,6.41
148,164.1,152.2,169.5,112.83,11.82,12.3,0.4,11.97,6.62,25.13,14.5,97.4,6.61
149,155.5,162.15,141.8,115.35,12.08,12.3,,11.97,6.6,22.68,23.7,98.44,6.61
150,164.1,162.96,170.8,114.28,11.81,12.25,0.39,11.97,6.61,24.56,23.3,102.89,6.63
151,170.4,160.41,181,110.25,12.09,12.3,,11.97,6.62,22.05,22.4,103.36,6.61
152,129.2,141.85,125.4,114.65,11.85,12.32,0.34,11.97,6.61,23.94,12.4,91.14,6.64
153,140.2,166.25,151.6,110.92,11.89,12.25,,11.97,6.62,25.39,14.6,94.83,6.62
154,148.6,154.84,163.5,112.31,12.1,12.27,0.41,11.97,6.41,24.45,14.2,107.37,6.4
155,157.6,171.36,178.5,123.28,12.07,12.33,,11.97,6.62,23.69,18.6,101.65,6.61
156,138.4,150.62,161.3,115.03,12.12,12.26,0.4,11.97,6.43,21.07,13.7,98.01,6.4
157,176.5,159.51,189.9,114.24,11.85,12.23,,11.97,6.61,25.64,16.2,102.32,6.6
158,139.1,149.92,141,110.25,12.09,12.29,0.41,11.97,6.4,19.36,11.4,89.85,6.41
159,157.1,152.62,151.7,120.14,12.08,12.21,,11.97,6.61,25.61,10.9,95.14,6.61
160,141.8,166.54,158.8,112.28,11.9,12.28,,11.97,6.62,25.59,26.2,115.92,6.62
161,178.8,154.86,145.7,115.04,11.76,12.47,,11.97,6.61,25.5,9.4,101.71,6.6
162,157.2,149.18,177.6,113.53,11.7,12.18,,11.97,6.61,25.26,13.8,99.05,6.61
163,165.4,155.77,165.4,109.31,12.04,12.3,0.38,11.97,6.4,22.26,15.7,107.9,6.4
164,171.5,152.45,150.6,112.33,11.7,12.15,,11.97,6.63,25.76,29.2,97.62,6.6
165,180,174.64,163.2,116.1,12.07,12.12,,11.97,6.62,24.04,34.2,102.52,6.61
166,173.3,149.6,155.8,112.25,11.85,12.34,0.37,11.97,6.61,25.13,10.8,97.9,6.61
167,169.6,162.63,157.7,114.9,11.87,12.19,,11.97,6.61,24.85,13.9,93.75,6.62
168,149.2,144.76,157.5,111.93,12.13,12.23,0.35,11.97,6.41,17.87,19.1,84.02,6.41
169,160.4,152.06,161.6,112.9,12.12,12.22,0.39,11.97,6.4,20.11,11.3,84.1,6.41
170,152.4,154.82,158.9,116.67,12.1,12.3,0.38,11.97,6.4,20.26,15.9,87.28,6.41
171,157.7,152.89,141.8,112.14,12.03,12.37,0.41,11.97,6.4,23.5,11,96.91,6.42
172,155.1,153.06,155,111.98,11.91,12.29,,11.97,6.62,24.41,14.7,91.56,6.63
173,140.1,168.78,159.2,119.94,11.9,12.28,,11.97,6.62,27.64,16.6,102.19,6.61
174,165.4,159.82,147.2,112.62,12.03,12.31,0.41,11.97,6.4,23.87,13.4,99.41,6.4
175,157.8,172.93,142.7,114.82,11.88,12.26,,11.97,6.6,24.36,25,102.24,6.61
176,140.8,160.5,183.6,116.93,12.09,12.15,,11.97,6.6,22.63,36.5,104.33,6.6
177,156.5,177.72,181.7,114.18,12.07,12.15,,11.97,6.62,24.42,17.4,99.26,6.62
178,138,138.73,151.7,110.36,12.11,12.3,0.41,11.97,6.41,22.59,13.6,96.65,6.42
179,147.8,157.74,144.9,112.9,12.08,12.26,,11.97,6.63,21.59,15.7,97.25,6.61
180,158.7,142.62,152.6,112.08,11.85,12.17,0.41,11.97,6.6,24.5,28.9,96.72,6.61
181,152.7,165.41,138.5,112.82,12.11,12.16,0.41,11.97,6.42,22.16,18,97.08,6.42
182,156,171.85,162,112.4,12.06,12.28,,11.97,6.62,21.66,22.6,99.23,6.62
183,150,162.8,168.6,111.17,11.89,12.26,,11.98,6.62,23.97,12.9,88.58,6.61
184,155.3,152.14,156.3,112.89,12.1,12.21,0.39,11.97,6.41,18.21,12.9,90.24,6.4
185,164.9,172.91,157.8,115.07,11.87,12.18,,11.98,6.62,24.55,19.1,99.78,6.62
186,148.9,165.41,144.1,109.45,11.89,12.25,,11.98,6.6,22.75,15.6,92.69,6.61
187,151.8,158.58,169.1,113.72,11.81,12.28,0.36,11.97,6.61,25.85,13.7,97.56,6.61
188,147.2,163.72,147.9,129.43,11.94,12.22,,11.97,6.62,27.76,20.8,93.18,6.63
189,138.1,148.12,148,114.18,12.11,12.31,0.37,11.97,6.4,18.85,14.6,80.95,6.41
190,156.9,150.71,144.2,114.09,12.13,12.32,0.41,11.97,6.42,18.48,19.4,83.11,6.41
191,138.4,146.28,156.5,109.07,12.06,12.2,0.41,11.97,6.41,21.79,15.1,97.5,6.41
192,173.2,163.16,139.7,114.73,11.82,12.29,0.38,11.98,6.61,25.77,13.7,96.46,6.61
193,155.8,166.45,168.6,113.72,12.08,12.3,,11.98,6.65,22.59,11.2,95.99,6.63
194,163.5,148.91,150.9,109.11,12.11,12.33,0.37,11.97,6.41,18.06,11.9,81.17,6.42
195,156.6,171.66,150.8,111.86,12.06,12.13,,11.98,6.62,28.58,27,97.13,6.61
196,160.1,159.97,164.9,119.85,11.82,12.25,0.38,11.97,6.6,25.16,18.4,102.44,6.62
197,155.8,162.08,168.8,109.91,11.83,12.29,,11.97,6.61,26.4,17.1,100.45,6.61
198,171.7,174.54,160.2,112.67,12.06,12.29,,11.97,6.62,22.56,14.6,98.7,6.61
199,175.4,164.35,172.3,111.95,11.82,12.27,0.36,11.97,6.61,26.69,18.3,102.9,6.6
200,146.5,163.41,184.8,115.62,12.09,12.2,,11.98,6.62,21.39,13.1,103.46,6.61
201,137.5,171.44,153.4,114.81,12.07,12.09,,11.97,6.61,22.51,28.9,102.37,6.61
202,157.3,164.83,169.7,112.7,12.1,12.13,,11.97,6.62,24.68,20.6,97.26,6.63
203,191.6,151.42,171.3,110.14,12.1,12.21,0.41,11.97,6.41,22.89,13.1,101.26,6.4
204,146.6,167.7,186.9,115.89,12.07,12.3,,11.97,6.61,23.26,16.8,100.38,6.6
205,175.8,170.6,149.5,113.77,12.07,12.09,,11.97,6.61,24.09,48.7,105.84,6.62
206,162.6,145.67,157.9,109.41,12.04,12.23,0.41,11.97,6.41,24.03,15.5,107.29,6.41
207,136.6,146.38,154,117.24,12.13,12.2,0.4,11.97,6.41,17.17,19.8,79.55,6.41
208,168.8,152.89,170.4,115.34,11.81,12.26,0.38,11.97,6.6,24.68,15.5,106.17,6.63
209,151.2,136.19,142.7,109,12.05,12.32,0.41,11.97,6.42,22,12.8,99.12,6.41
210,155.2,151.19,147.3,119.58,12.05,12.22,0.41,11.97,6.41,24.43,15.7,101.05,6.42
211,172.5,141.33,175.8,110.72,11.86,12.23,0.36,11.97,6.6,24.09,15.7,95.06,6.63
212,149.4,150.82,115.1,116.21,11.88,12.24,,11.97,6.61,26.87,17.7,95.03,6.61
213,197.9,141.93,163.6,107.31,12.13,12.23,0.4,11.97,6.23,17.77,31.2,79.9,6.44
214,169.1,142.35,151,117.8,12.1,12.24,0.39,11.97,6.41,21.58,22.2,94.6,6.42
215,137.9,168.05,159.4,116.91,11.9,12.24,,11.97,6.62,24.83,12,88.57,6.61
216,168.9,140.87,159.9,111.53,12.1,12.36,0.4,11.97,6.41,21.1,12.9,95.88,6.41
217,163.4,143.21,168.2,116.24,11.73,12.33,,11.97,6.61,25.13,15.3,106.79,6.61
218,149.6,155.42,182.4,110.83,12.06,12.24,0.41,11.97,6.41,24,22.2,105.2,6.42
219,164.8,150.63,160.8,114.62,12.03,12.4,0.41,11.97,6.41,24.53,9.9,100.88,6.41
220,139.1,149.49,137.1,108.83,12.09,12.33,0.32,11.97,6.41,22.96,14.5,95.44,6.41
221,158.8,155.32,144.5,112.07,12.12,12.26,0.39,11.97,6.41,21.66,14.4,101.22,6.41
222,159.5,177.62,179.5,109.36,11.88,12.38,,11.98,6.6,25.26,13.6,95.51,6.61
223,158.5,151.37,136.9,112.43,12.1,12.31,0.41,11.97,6.4,20.38,14.9,95.69,6.41
224,171.4,153.8,154.2,115.22,11.91,12.21,,11.97,6.62,22.8,15.4,93.6,6.63
225,175.7,165.29,167,114.38,11.84,12.21,,11.97,6.61,26.51,17.3,97.15,6.61
226,192.4,179.81,165.9,114.91,12.06,12.21,,11.97,6.62,23.46,18.6,100.73,6.61
227,183,160.71,167.8,109.37,11.8,12.42,0.35,11.97,6.6,23.94,16.5,100.07,6.61
228,192.3,150.66,197.5,112.45,11.78,12.2,,11.97,6.6,25.9,17.9,100.67,6.46
229,141.3,144.25,147.2,115.83,12.12,12.38,0.41,11.97,6.41,20.71,11,87.32,6.42
230,165.7,143.76,160.5,114.51,12.12,12.33,0.4,11.97,6.4,17.03,14,83.92,6.4
231,194.1,170.35,165.5,120.61,12.07,12.21,,11.97,6.6,23.85,16.1,106.41,6.62
232,147.6,156.65,151.8,109.03,12.09,12.36,,11.97,6.62,21.72,10.4,97.49,6.62
233,194.1,177.24,187.6,114.16,12.05,12.22,,11.98,6.6,24.63,16.2,103.88,6.61
234,155.5,177.2,147.8,117.63,12.06,12.16,,11.98,6.64,25.17,29.4,96.41,6.63
235,173.4,155.99,172.3,113.59,11.83,12.31,0.4,11.97,6.61,25.95,14.9,102.64,6.62
236,166.4,177.62,151.7,116.53,12.09,12.26,,11.98,6.6,25.08,13.6,100.87,6.61
237,149.8,149.58,172.5,108.11,12.06,12.21,0.41,11.97,6.43,24.07,35.2,107.56,6.43
238,162.9,164.36,192,111.83,12.08,12.19,,11.97,6.62,23.51,22.5,100.89,6.61
239,156.1,156.3,155.2,112.4,12.09,12.32,0.41,11.97,6.41,19.04,14.6,82.77,6.41
240,138,154.53,161.6,112.19,11.9,12.17,,11.97,6.62,24.93,18.5,92.47,6.61
241,155.7,188.75,158.9,115.16,12.07,12.2,,11.97,6.61,27.47,18.6,106.59,6.61
242,147.8,172.72,156.7,117.56,11.91,12.11,,11.97,6.62,28.33,36.9,99.2,6.61
243,175.1,143.44,165.2,112.79,12.13,12.24,0.39,11.97,6.4,19.96,21.6,94.23,6.41
244,141.9,150.72,159,110.62,11.86,12.29,,11.97,6.6,24.94,13.6,104.43,6.61
245,154.6,153.58,148.8,113.56,12.04,12.2,0.41,11.97,6.41,25.5,18.1,106.07,6.4
246,147.6,139.44,138,111.07,12.09,12.25,0.38,11.97,6.41,21.97,13.4,96.53,6.42
247,149.8,161.93,176.3,117.86,12.09,12.18,,11.98,6.62,22.98,21,98.83,6.61
248,145.3,158.16,191,116.02,11.83,12.33,0.31,11.97,6.61,26.56,21.4,108.46,6.6
249,162.9,161.41,175.8,110.81,11.82,12.31,0.34,11.98,6.61,27.32,14.7,101.46,6.61
250,139.5,155.31,146.8,120.09,12.09,12.27,0.41,11.97,6.41,22.63,13.4,95.91,6.41
251,176.5,167.73,153.7,117.13,12.07,12.27,,11.97,6.6,22.38,13.3,100.26,6.6
252,169,138.57,168.2,114.81,12.07,12.25,0.41,11.97,6.41,23.29,18.2,96.03,6.43
253,174,158.28,164.7,113.2,12.07,12.27,,11.97,6.6,25.15,17.2,102.11,6.61
254,156.2,151.74,149.2,112.71,12.09,12.26,,11.97,6.61,24.83,16.7,94.92,6.63
255,143.2,159.95,146.9,105.8,11.83,12.34,0.39,11.97,6.6,24.77,14.2,96.64,6.6
256,139.9,153.32,136.5,111.95,12.03,12.27,0.41,11.97,6.41,23.43,14.4,100.84,6.42
257,153.6,154.91,158.5,112.26,12.08,12.25,,11.97,6.62,24.44,38.3,96.21,6.61
258,172.5,155.37,184.8,114.62,11.71,12.31,,11.97,6.61,24.76,12.7,95.42,6.63
259,175.8,163.67,168.3,116.11,12.08,12.29,,11.98,6.63,24.37,12.1,100.01,6.63
260,156.1,154.82,173.6,112.86,12.12,12.29,0.4,11.97,6.41,22.55,20.8,106.16,6.41
261,166.8,156.77,144.6,116.7,12.1,12.24,,11.97,6.6,24.6,18.7,104.32,6.6
